Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,
"alexander-mcqueen","Alexander McQueen","The restrictions of 2020 meant that with a lack of resources, Alexander McQueen decided to create a collection made predominantly of upcycled overstock fabrics. This T-shirt, for example, is crafted from cotton and features patch logo taping which is cut from the selvedge for a clean finish. Wear it with everything from off-duty sweatpants to tailored trousers to showcase the label’s sustainable practices.",Eslam Hosny M.,,"Selvedge Logo Tape T-Shirt","Men, Clothing, T-shirts, Logo T-shirts",TRUE,https://www.harrods.com/en-ae/shopping/alexander-mcqueen-selvedge-logo-tape-t-shirt-18351668,Color,Neutral,Size,XS,,,,,,,deny,manual,1400,,TRUE,TRUE,,https://image.harrods.com/18/35/16/68/18351668_40168795_200.jpg,1,,FALSE,,,,,,,"Selvedge Logo Tape T-Shirt",,,FALSE,,,,,,https://image.harrods.com/18/35/16/68/18351668_40168795_200.jpg,g,,,active,
"alexander-mcqueen",,,,,,,,,,Neutral,,S,,,,,,,deny,manual,1400,,TRUE,TRUE,,https://image.harrods.com/18/35/16/68/18351668_40168795_300.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"alexander-mcqueen",,,,,,,,,,Neutral,,M,,,,,,,deny,manual,1400,,TRUE,TRUE,,https://image.harrods.com/18/35/16/68/18351668_40168795_600.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"alexander-mcqueen",,,,,,,,,,Neutral,,L,,,,,,,deny,manual,1400,,TRUE,TRUE,,https://image.harrods.com/18/35/16/68/18351668_40168795_800.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"alexander-mcqueen",,,,,,,,,,Neutral,,XL,,,,,,,deny,manual,1400,,TRUE,TRUE,,https://image.harrods.com/18/35/16/68/18351668_40168795_1000.jpg,5,,,,,,,,,,,,,,,,,,,g,,,,
"alexander-mcqueen",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/18/35/16/68/18351668_40168795_2048.jpg,6,,,,,,,,,,,,,,,,,,,g,,,,
"alexander-mcqueen","Alexander McQueen","Alexander McQueen’s Spring/Summer 2022 collection was inspired by the sky and, more broadly, the beauty of nature as a whole. While you may expect this theme to carry motifs of sunshine and butterflies, the label opts to approach it via its typical gothic lens, depicting ominous – but nonetheless magnificent – grey-tinted clouds across pieces like these swim shorts.",Eslam Hosny M.,,"Cloud Print Swim Shorts","Men, Clothing, Swimwear",TRUE,https://www.harrods.com/en-ae/shopping/alexander-mcqueen-cloud-print-swim-shorts-18307084,Color,BLUE,Size,M,,,,,,,deny,manual,1725,,TRUE,TRUE,,https://image.harrods.com/18/30/70/84/18307084_40167338_200.jpg,1,,FALSE,,,,,,,"Cloud Print Swim Shorts",,,FALSE,,,,,,https://image.harrods.com/18/30/70/84/18307084_40167338_200.jpg,g,,,active,
"alexander-mcqueen",,,,,,,,,,BLUE,,L,,,,,,,deny,manual,1725,,TRUE,TRUE,,https://image.harrods.com/18/30/70/84/18307084_40167338_300.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"alexander-mcqueen",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/18/30/70/84/18307084_40167338_600.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"alexander-mcqueen",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/18/30/70/84/18307084_40167338_800.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
