Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Product URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
versace,VERSACE,"crepe, no appliqués, solid color, high waisted, belt loops, straight leg, regular fit, hook-and-eye closure, zipper closure, multipockets, stretch",Eslam Hosny M.,,Casual pants,"HOME, Women, Pants, Casual pants, VERSACE",TRUE,https://www.yoox.com/us/13661725AH/item#dept=clothingwomen&sts=SearchResult,Color,Lilac,Size,4,,,,,,,deny,manual,510,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13661725AH_14_f.jpg,1,,FALSE,,,,,,,Casual pants,,,FALSE,,,,,,https://cdn.yoox.biz//images/items/13/13661725AH_14_f.jpg,g,,,active
versace,,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13661725AH_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,
versace,,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13661725AH_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,
versace,,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13661725AH_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,
Off-white™,OFF-WHITE™,"twill, brand logo, multicolor pattern, high waisted, belt loops, tapered leg, regular fit, hook-and-eye closure, zipper closure, multipockets, stretch",Eslam Hosny M.,,Casual pants,"HOME, Women, Pants, Casual pants, OFF-WHITE™",TRUE,https://www.yoox.com/us/13705656DV/item#dept=clothingwomen&sts=SearchResult,Color,Red,Size,2,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_f.jpg,1,,FALSE,,,,,,,Casual pants,,,FALSE,,,,,,https://cdn.yoox.biz//images/items/13/13705656DV_14_f.jpg,g,,,active
off-white™,,,,,,,,,,Red,,4,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,
off-white™,,,,,,,,,,Red,,6,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,
off-white™,,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,
versace,VERSACE,"knitted, lightweight knit, brooch, brand logo, two-tone, round collar, long sleeves, no pockets",Eslam Hosny M.,,Sweater,"HOME, Women, Sweaters and Sweatshirts, Sweaters, VERSACE",TRUE,https://www.yoox.com/us/14187307EL/item#dept=clothingwomen&sts=SearchResult,Color,Green,Size,2,,,,,,,deny,manual,463,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14187307EL_14_f.jpg,1,,FALSE,,,,,,,Sweater,,,FALSE,,,,,,https://cdn.yoox.biz//images/items/14/14187307EL_14_f.jpg,g,,,active
versace,,,,,,,,,,Green,,4,,,,,,,deny,manual,463,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14187307EL_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,
